year,month,state,count,original_state_code
85,1,3,2480,3
85,1,7,2689,7
85,1,43,4494,43
85,1,AK,158,2
85,1,AL,3533,1
85,1,AR,20806,5
85,1,AZ,2278,4
85,1,CA,2045,6
85,1,CO,517,8
85,1,CT,815,9
85,1,DC,4571,11
85,1,DE,12112,10
85,1,FL,561,12
85,1,GA,573,13
85,1,GU,10137,14
85,1,HI,4606,15
85,1,IA,3598,19
85,1,ID,2648,16
85,1,IL,2080,17
85,1,IN,3334,18
85,1,KS,997,20
85,1,KY,3236,21
85,1,LA,5319,22
85,1,MA,2369,25
85,1,MD,3329,24
85,1,ME,7105,23
85,1,MI,5064,26
85,1,MN,608,27
85,1,MO,812,29
85,1,MS,1365,28
85,1,MT,776,30
85,1,NC,2689,37
85,1,ND,2282,38
85,1,NE,6796,31
85,1,NH,17109,33
85,1,NJ,4888,34
85,1,NM,548,35
85,1,NV,937,32
85,1,NY,9437,36
85,1,OH,11825,39
85,1,OK,957,40
85,1,OR,2392,41
85,1,PA,613,42
85,1,RI,11563,44
85,1,SC,910,45
85,1,SD,427,46
85,1,TN,4073,47
85,1,TX,3132,48
85,1,UT,1867,49
85,1,VA,272,51
85,1,VT,3937,50
85,2,3,2365,3
85,2,7,2369,7
85,2,43,4090,43
85,2,AK,155,2
85,2,AL,3456,1
85,2,AR,18469,5
85,2,AZ,2181,4
85,2,CA,1731,6
85,2,CO,468,8
85,2,CT,737,9
85,2,DC,4521,11
85,2,DE,11623,10
85,2,FL,553,12
85,2,GA,553,13
85,2,GU,8284,14
85,2,HI,4182,15
85,2,IA,3318,19
85,2,ID,2561,16
85,2,IL,1942,17
85,2,IN,3019,18
85,2,KS,925,20
85,2,KY,3271,21
85,2,LA,5160,22
85,2,MA,2310,25
85,2,MD,2938,24
85,2,ME,6270,23
85,2,MI,4673,26
85,2,MN,535,27
85,2,MO,653,29
85,2,MS,1385,28
85,2,MT,704,30
85,2,NC,2547,37
85,2,ND,2014,38
85,2,NE,6114,31
85,2,NH,14235,33
85,2,NJ,4758,34
85,2,NM,484,35
85,2,NV,902,32
85,2,NY,8789,36
85,2,OH,10959,39
85,2,OK,905,40
85,2,OR,2393,41
85,2,PA,564,42
85,2,RI,10751,44
85,2,SC,801,45
85,2,SD,378,46
85,2,TN,3942,47
85,2,TX,2966,48
85,2,UT,1621,49
85,2,VA,271,51
85,2,VT,3528,50
85,3,3,2300,3
85,3,7,2464,7
85,3,43,4003,43
85,3,AK,152,2
85,3,AL,3336,1
85,3,AR,17747,5
85,3,AZ,2178,4
85,3,CA,1803,6
85,3,CO,480,8
85,3,CT,784,9
85,3,DC,4313,11
85,3,DE,11232,10
85,3,FL,599,12
85,3,GA,575,13
